,CITY,SECTOR_ID,SECTOR_NAME,ENODEB_ID,ENODEB_NAME,EARFCN,PCI,PSS,SSS,TAC,AZIMUTH,HEIGHT,ELECTTILT,MECHTILT,TOTLETILT
3788,sanxia,259608-2,D县张茅水泥厂-HLHF-3,259608,D县张茅水泥厂-HLHF,38400,248,2,82,18833,240.0,43.0,6.0,3.0,9.0
3789,sanxia,259609-0,E宝浊峪村-HLHF-1,259609,E宝浊峪村-HLHF,38400,272,2,90,14483,30.0,43.0,6.0,3.0,9.0
3790,sanxia,259609-1,E宝浊峪村-HLHF-2,259609,E宝浊峪村-HLHF,38400,271,1,90,14483,150.0,43.0,6.0,3.0,9.0
3791,sanxia,259609-2,E宝浊峪村-HLHF-3,259609,E宝浊峪村-HLHF,38400,270,0,90,14483,260.0,43.0,6.0,3.0,9.0
3792,sanxia,259610-0,E宝阳平三-HLHF-1,259610,E宝阳平三-HLHF,38400,370,1,123,14355,55.0,43.0,6.0,3.0,9.0
3793,sanxia,259610-1,E宝阳平三-HLHF-2,259610,E宝阳平三-HLHF,38400,369,0,123,14355,135.0,43.0,6.0,3.0,9.0
3794,sanxia,259610-2,E宝阳平三-HLHF-3,259610,E宝阳平三-HLHF,38400,371,2,123,14355,245.0,43.0,6.0,3.0,9.0
3795,sanxia,259611-0,E宝M阳三-HLHF-1,259611,E宝M阳三-HLHF,38400,490,1,163,18832,330.0,38.0,6.0,3.0,9.0
3796,sanxia,259611-1,E宝M阳三-HLHF-2,259611,E宝M阳三-HLHF,38400,489,0,163,18832,120.0,38.0,6.0,3.0,9.0
3797,sanxia,259611-2,E宝M阳三-HLHF-3,259611,E宝M阳三-HLHF,38400,491,2,163,18832,220.0,38.0,6.0,3.0,9.0
3798,sanxia,259612-0,E宝豫灵南-HLHF-1,259612,E宝豫灵南-HLHF,38400,462,0,154,14435,20.0,33.0,6.0,3.0,9.0
3799,sanxia,259612-1,E宝豫灵南-HLHF-2,259612,E宝豫灵南-HLHF,38400,464,2,154,14435,150.0,33.0,6.0,3.0,9.0
3800,sanxia,259612-2,E宝豫灵南-HLHF-3,259612,E宝豫灵南-HLHF,38400,463,1,154,14435,300.0,33.0,6.0,3.0,9.0
3801,sanxia,259613-0,E宝西阎二-HLHF-1,259613,E宝西阎二-HLHF,38400,73,1,24,14355,40.0,43.0,6.0,3.0,9.0
3802,sanxia,259613-1,E宝西阎二-HLHF-2,259613,E宝西阎二-HLHF,38400,74,2,24,14355,160.0,43.0,6.0,0.0,6.0
3803,sanxia,259613-2,E宝西阎二-HLHF-3,259613,E宝西阎二-HLHF,38400,72,0,24,14355,310.0,43.0,6.0,3.0,9.0
3804,sanxia,259614-0,E宝故县二-HLHF-1,259614,E宝故县二-HLHF,38400,435,0,145,14435,30.0,23.0,6.0,3.0,9.0
3805,sanxia,259614-1,E宝故县二-HLHF-2,259614,E宝故县二-HLHF,38400,436,1,145,14435,135.0,23.0,6.0,3.0,9.0
3806,sanxia,259614-2,E宝故县二-HLHF-3,259614,E宝故县二-HLHF,38400,437,2,145,14435,310.0,23.0,6.0,3.0,9.0
3807,sanxia,259615-0,E宝豫灵吴村-HLHF-1,259615,E宝豫灵吴村-HLHF,38400,117,0,39,14435,20.0,33.0,6.0,3.0,9.0
3808,sanxia,259615-1,E宝豫灵吴村-HLHF-2,259615,E宝豫灵吴村-HLHF,38400,119,2,39,14435,120.0,33.0,6.0,3.0,9.0
3809,sanxia,259615-2,E宝豫灵吴村-HLHF-3,259615,E宝豫灵吴村-HLHF,38400,118,1,39,14435,240.0,33.0,6.0,3.0,9.0
3810,sanxia,259616-0,A池义翔铝业-HLHF-1,259616,A池义翔铝业-HLHF,38400,171,0,57,14339,0.0,43.0,6.0,3.0,9.0
3811,sanxia,259616-1,A池义翔铝业-HLHF-2,259616,A池义翔铝业-HLHF,38400,172,1,57,14339,180.0,43.0,6.0,3.0,9.0
3812,sanxia,259616-2,A池义翔铝业-HLHF-3,259616,A池义翔铝业-HLHF,38400,173,2,57,14339,240.0,43.0,6.0,3.0,9.0
3813,sanxia,259617-0,D县鼓楼-HLHF-1,259617,D县鼓楼-HLHF,38400,221,2,73,18833,0.0,17.0,6.0,3.0,9.0
3814,sanxia,259617-1,D县鼓楼-HLHF-2,259617,D县鼓楼-HLHF,38400,220,1,73,18833,100.0,17.0,6.0,3.0,9.0
3815,sanxia,259617-2,D县鼓楼-HLHF-3,259617,D县鼓楼-HLHF,38400,219,0,73,18833,260.0,17.0,6.0,3.0,9.0
3816,sanxia,259618-0,D县张茅街-HLHF-1,259618,D县张茅街-HLHF,38400,472,1,157,18833,30.0,15.0,6.0,3.0,9.0
3817,sanxia,259618-1,D县张茅街-HLHF-2,259618,D县张茅街-HLHF,38400,471,0,157,18833,280.0,15.0,6.0,3.0,9.0
3818,sanxia,259618-2,D县张茅街-HLHF-3,259618,D县张茅街-HLHF,38400,473,2,157,18833,340.0,15.0,6.0,3.0,9.0
3819,sanxia,259619-0,D县观音堂西-HLHF-1,259619,D县观音堂西-HLHF,38400,68,2,22,18833,50.0,19.0,6.0,3.0,9.0
3820,sanxia,259619-1,D县观音堂西-HLHF-2,259619,D县观音堂西-HLHF,38400,67,1,22,18833,120.0,19.0,6.0,3.0,9.0
3821,sanxia,259619-2,D县观音堂西-HLHF-3,259619,D县观音堂西-HLHF,38400,66,0,22,18833,280.0,19.0,6.0,3.0,9.0
3822,sanxia,259620-0,E宝大中原-HLHF-1,259620,E宝大中原-HLHF,38400,219,0,73,18836,10.0,43.0,6.0,3.0,9.0
3823,sanxia,259620-1,E宝大中原-HLHF-2,259620,E宝大中原-HLHF,38400,221,2,73,18836,120.0,43.0,6.0,3.0,9.0
3824,sanxia,259620-2,E宝大中原-HLHF-3,259620,E宝大中原-HLHF,38400,220,1,73,18836,250.0,43.0,6.0,3.0,9.0
3825,sanxia,259621-0,E宝金灵批发部-HLHF-1,259621,E宝金灵批发部-HLHF,38400,452,2,150,14435,330.0,15.0,6.0,3.0,9.0
3826,sanxia,259621-1,E宝金灵批发部-HLHF-2,259621,E宝金灵批发部-HLHF,38400,450,0,150,14435,75.0,15.0,6.0,3.0,9.0
3827,sanxia,259621-2,E宝金灵批发部-HLHF-3,259621,E宝金灵批发部-HLHF,38400,451,1,150,14435,230.0,15.0,6.0,3.0,9.0
3828,sanxia,259622-0,E宝史村-HLHF-1,259622,E宝史村-HLHF,38400,8,2,2,18838,40.0,43.0,6.0,3.0,9.0
3829,sanxia,259622-1,E宝史村-HLHF-2,259622,E宝史村-HLHF,38400,7,1,2,18838,140.0,43.0,6.0,3.0,9.0
3830,sanxia,259622-2,E宝史村-HLHF-3,259622,E宝史村-HLHF,38400,6,0,2,18838,310.0,43.0,6.0,3.0,9.0
3831,sanxia,259623-0,E宝大湖-HLHF-1,259623,E宝大湖-HLHF,38400,421,1,140,18835,15.0,33.0,6.0,3.0,9.0
3832,sanxia,259623-1,E宝大湖-HLHF-2,259623,E宝大湖-HLHF,38400,420,0,140,18835,130.0,33.0,6.0,3.0,9.0
3833,sanxia,259623-2,E宝大湖-HLHF-3,259623,E宝大湖-HLHF,38400,422,2,140,18835,240.0,33.0,6.0,3.0,9.0
3834,sanxia,259624-0,E宝布张-HLHF-1,259624,E宝布张-HLHF,38400,383,2,127,18836,10.0,43.0,6.0,3.0,9.0
3835,sanxia,259624-1,E宝布张-HLHF-2,259624,E宝布张-HLHF,38400,382,1,127,18836,140.0,43.0,6.0,3.0,9.0
3836,sanxia,259624-2,E宝布张-HLHF-3,259624,E宝布张-HLHF,38400,381,0,127,18836,240.0,43.0,6.0,3.0,9.0
3837,sanxia,259625-0,E宝程村-HLHF-1,259625,E宝程村-HLHF,38400,310,1,103,14355,0.0,28.0,6.0,3.0,9.0
3838,sanxia,259625-1,E宝程村-HLHF-2,259625,E宝程村-HLHF,38400,309,0,103,14355,120.0,28.0,6.0,3.0,9.0
3839,sanxia,259625-2,E宝程村-HLHF-3,259625,E宝程村-HLHF,38400,311,2,103,14355,240.0,28.0,6.0,3.0,9.0
3840,sanxia,259626-0,D县五原-HLHF-1,259626,D县五原-HLHF,38400,355,1,118,14387,55.0,30.0,6.0,3.0,9.0
3841,sanxia,259626-1,D县五原-HLHF-2,259626,D县五原-HLHF,38400,354,0,118,14387,160.0,30.0,6.0,3.0,9.0
3842,sanxia,259626-2,D县五原-HLHF-3,259626,D县五原-HLHF,38400,356,2,118,14387,325.0,30.0,6.0,3.0,9.0
3843,sanxia,259627-0,B马煤气化三期-HLHF-1,259627,B马煤气化三期-HLHF,38400,225,0,75,14467,10.0,43.0,6.0,3.0,9.0
3844,sanxia,259627-1,B马煤气化三期-HLHF-2,259627,B马煤气化三期-HLHF,38400,226,1,75,14467,120.0,43.0,6.0,3.0,9.0
3845,sanxia,259627-2,B马煤气化三期-HLHF-3,259627,B马煤气化三期-HLHF,38400,227,2,75,14467,180.0,43.0,6.0,3.0,9.0
3846,sanxia,259627-3,B马煤气化三期-HLHD-4,259627,B马煤气化三期-HLHF,37900,288,0,96,14467,10.0,43.0,6.0,3.0,9.0
3847,sanxia,259627-4,B马煤气化三期-HLHD-5,259627,B马煤气化三期-HLHF,37900,289,1,96,14467,120.0,43.0,6.0,3.0,9.0
